Name,Address,Suburb,Postcode,LGA,Licensee,Licensee ABN,Facebook Link,Instagram link,Email Address,Phone Number,Date email 1 sent,Date email 2 sent,Date email 3 sent,Notes,
Glasshouse Espresso Bar & Grill,2 COOK PARK ,KYEEMAGH,2216,Bayside,GLASS HOUSE BAR & GRILL PTY LTD,24663191893,https://www.facebook.com/p/Glasshouse-Bar-Grill-Kyeemagh-100087599057354/,https://www.instagram.com/glasshouse_barandgrill/reels/,glasshousekyeemagh2024@gmail.com,,7/5/2024,,,No contact number available,
Frankie B's Brunch House,"Kiosk FC1 & FC2, 152 Bunnerong Road ",EASTLAKES,2036,Bayside,FRANKIE B'S EG HOLDINGS PTY LTD,19658352062,https://www.facebook.com/frankiebsfoodhouse/?ref=page_internal,https://www.instagram.com/frankiebsfoodhouse/,hello@frankiebs.com,+61 2 7813 2107,7/5/2024,,,,
KEI,"shop 4/1 Brodie Spark Drive, Wolli Creek ",WOLLI CREEK,2205,Bayside,LEMEL PTY LTD,63614301101,https://www.facebook.com/p/Kei-Japanese-Restaurant-100086891535250/,kei.japanese,,+61 2 8937 4323,,,,No email and No website,
Three Blind Mice Cheese & Meat,SHOP 1 904 BOTANY RD ,MASCOT,2020,Bayside,Milan MAJSTOROVIC,,https://www.facebook.com/threeblindmicemascot,https://www.instagram.com/threeblindmice_mascot/,admin@threeblindmice.net.au,0484 577 049,7/5/2024,,,,
Mrs. Ding,"Shops 1-2, 1364 Botany Road ",BOTANY,2019,Bayside,MRS. DING PTY LTD,39652036176,,,,02 9131 8486,,,,No social media account,
Sensei Sushi Sydney,UNIT 2 331 GARDENERS RD ,ROSEBERY,2018,Bayside,Ana Reis Rodrigues,,https://www.facebook.com/senseisushisydney/,https://www.instagram.com/senseisushisydney/,sales@senseisushi.com.au,0416 622 833,8/5/2024,,,,
Spirits Platform Pty Ltd,"Level 2, 40 Lord Street ",BOTANY,2019,Bayside,Marie-claire Piga,,,https://www.instagram.com/spirits_platform/,gmacarthur@spiritsplatform.com.au ,1300 460 403,8/5/2024,,,,
Ren Ishii,29 CAMPBELL ST ,RAMSGATE,2217,Bayside,Stephanie Phillips,,https://www.facebook.com/renishiisydney,https://www.instagram.com/renishii.sydney/,hello@renishii.com.au,405988108,8/5/2024,,,,
Burger Head Botany,1427 BOTANY RD ,BOTANY,2019,Bayside,CATERING OPERATIONS WVH PTY LTD,61638869897,https://www.facebook.com/theburgerhead,https://www.instagram.com/theburgerhead,botany@theburgerhead.com.au,02 7228 9291,8/5/2024,,,,
Mum's Chicken Express,Shop C/6 Mount Olympus Boulevard ,Wolli Creek,2205,Bayside,Hongzhu Piao,,,,,+61 2 7911 1637,,,,No social media account,
Thai Thae,"Shop 4, 256 Coward Street ",MASCOT,2020,Bayside,THAI THAE WATERLOO PTY LTD,30638279571,https://www.facebook.com/thaithaerestaurant?locale=zh_CN,https://www.instagram.com/thaithae_sydney/,,+61 434 716 559,,,,No available email,
Curry Craze,197-201 COWARD ST ,MASCOT,2020,Bayside,JUST CURRY ON PTY LTD,57610840456,https://www.facebook.com/currycrazemascot/,,currycrazemascot@gmail.com,02 8021 8574,8/5/2024,,,,
Ryoma Bayside,SHOP 1 1 MAGDALENE TCE ,WOLLI CREEK,2205,Bayside,RYOMA BAYSIDE PTY LTD,63647404779,,https://www.instagram.com/ryomagroup,,+61 2 8764 8761,,,,,
The Grove Social House,264 KINGSGROVE RD ,KINGSGROVE,2208,Bayside,TH INVESTMENTS (KINGSGROVE) PTY LTD,12143863941,,,,,,,,No social media account,
Sushi Yokozuna,"Shop 2, 11 Oscar Place ",EASTGARDENS,2036,Bayside,Martin HWANG,,,,Luckypigme88@gmail.com,(02) 8367 4959,8/5/2024,,,No social media account,
Chachii,1/9-11 ARNCLIFFE ST ,WOLLI CREEK,2205,Bayside,THIAGO MENDES,,https://www.facebook.com/KitchenbyChachii/,https://www.instagram.com/kitchenbychachii,,+61 2 9171 0813,,,,No available email,
Western Legend BBQ,Shop 1/27-256 Coward St ,MASCOT,2020,Bayside,WESTERN LEGEND PTY LTD,16647988190,,https://www.instagram.com/western_legend_bbq/,westernlegendbbq@gmail.com,(02) 8063 8080,8/5/2024,,,,
Two Fives Cafe,UNIT 1 353-355 GARDENERS RD ,ROSEBERY,2018,Bayside,Sudiman Sudiman,,https://www.facebook.com/cafetwofives/,https://www.instagram.com/twofivescafe/?hl=en,info@twofives.com.au,(02) 9669 1611,8/5/2024,,,,
WAN,Shop 3 256 Coward Street ,MASCOT,2020,Bayside,POCO POCO PTY LTD,34646323677,https://www.facebook.com/p/WAN-100069638502545/,https://www.instagram.com/wanramenbar/,,(02) 4610 7539,,,,No available email,
BUZZ BAR,1 BYRNES ST ,BOTANY,2019,Bayside,BUZZ BATCH PTY LTD,16613116377,https://www.facebook.com/Botanybuzz/,https://www.instagram.com/botanybuzz/,,+61 400 459 868,,,,No available email,
SAM PO MALAYSIA KITCHEN,19-33 Kent Road ,Mascot,2020,Bayside,Jun YIN,,,,,+61 2 8817 2899,,,,No social media account,
The Muglan in Rockdale,SHOP 1 18 MARKET ST ,ROCKDALE,2216,Bayside,TBRB HOSPITALITY PTY LTD,30662172929,https://www.facebook.com/TheMuglan/,https://www.instagram.com/themuglan/,rockdale@themuglan.com.au,(02) 8387 9266,8/5/2024,,,,
Ramen Dragon,SHOP 4 6 BOURKE ST ,MASCOT,2020,Bayside,Di WANG,,https://www.facebook.com/profile.php?id=100064844597406,https://www.instagram.com/ramendragonmascot/,ramendragonmascot@hotmail.com,(02) 8825 8788,8/5/2024,,,,
Wagyu Yakiniku Nishiki,10 SHAW ST ,BEXLEY NORTH,2207,Bayside,W & B CORPORATION PTY LTD,,https://www.facebook.com/NishikiBexleyNorth,https://www.instagram.com/nishiki2207,Nishiki2207@gmail.com,+61 455 996 688,8/5/2024,,,,
Everest Tandoori,Level 1  420-424 Princes Highway ,ROCKDALE,2216,Bayside,EVEREST TANDOORI PTY LTD,,https://www.facebook.com/EverestTandooriFunctionCentre,,shiwani_8@hotmail.com,"0423370433, 0422838422",8/5/2024,3/6/2024,,error on sending an email / new email address from FB page,
Holiday Inn Express Sydney Airport,2-12 Sarah Street ,MASCOT,2020,Bayside,PRO-INVEST HOTEL OPERATING 7 PTY LTD,91625141148,https://www.facebook.com/holidayinnexpress,https://www.instagram.com/holidayinnexpress,info.sydap@proinvesthotels.com,61-2-83649111,8/5/2024,,,,
Kasundi Food & Catering,Shop 1  3 Shaw Street ,BEXLEY NORTH,2207,Bayside,surajit biswas,,,,kasundirestaurant@gmail.com,(02) 8040 6742,8/5/2024,,,No social media account,
Bik's Coffee Shop,1120 Botany Road ,BOTANY,2019,Bayside,Bikal Shrestha,,https://www.facebook.com/bikscafe/,https://www.instagram.com/biks_cafe,biks1120@gmail.com,+61 2 8971 5000,8/5/2024,,,,
IndoSydney Bistro,948 Botany Road ,MASCOT,2020,Bayside,Veranica Lesmana,,https://www.facebook.com/profile.php?id=100092261530259&mibextid=LQQJ4d,https://www.instagram.com/indosydneybistro/?igshid=Y2IzZGU1MTFhOQ%3D%3D,indosydneybistro@gmail.com,0451 144 664,8/5/2024,,,,
Camy's Chargrill Chicken,Shop 16  11 Etherden Walk ,MASCOT,2020,Bayside,NEW MILLENNIUM PTY LTD,87169135004,https://www.facebook.com/camyschargrillchicken/,camyschargrillchicken,camysfoods.au@gmail.com, 02 9280 1879,8/5/2024,,,,
Napoli Centro Pizzeria,10 Hartill-Law Avenue ,BARDWELL PARK,2207,Bayside,Vincenzo Riemma,,https://www.facebook.com/NapoliCentroPizzeria1972/,napolicentropizzeria,napolicentropizzeria@yahoo.com,02-95999711,8/5/2024,,,,
Sansheng Restaurant,"Shop 2,  7-9 Kent Road ",MASCOT,2020,Bayside,INFINITY MC PTY LTD,57637770122,https://www.facebook.com/SanShengMascot/,https://www.instagram.com/sanshengmascot/,,02 8339 1606,,,,No email and no website,
Angry Tony's Pizza Mascot,G18 671-683 Gardeners Road,MASCOT,2020,Bayside,Luke Harold,,https://www.facebook.com/angrytonys,https://www.instagram.com/angrytonyspizza/,hello@angrytonys.com.au,(02) 9059 0234,8/5/2024,,,,
Archie Rose Distilling Co.,"Level 1, Unit 8 28A McPherson Street",BANKSMEADOW,2019,Bayside,Harriet LEIGH,,https://www.facebook.com/archierosedistillingco,https://www.instagram.com/archierosedistillingco,info@archierose.com.au,+61 2 8458 2300,8/5/2024,,,,
Public Espresso Cafe and Restaurant,4 200 Coward Street ,MASCOT,2020,Bayside,Jerry Kusnadi,,https://www.facebook.com/publicespressomascot/,https://www.instagram.com/publicespressomascot/,,+61 413 472 468,8/5/2024,,,email address does not exist / no website,
Platform 62,U 62 7 Bourke St ,MASCOT,2020,Bayside,UNITY CL PTY. LTD.,,https://www.facebook.com/barplatform62/,https://www.instagram.com/platform62/,cafeplatform62@gmail.com,+61 417 178 720,8/5/2024,,,,
St George Randwick Hockey Club,78-80 Mutch Ave ,KYEEMAGH,2216,Bayside,Ian Soares,,https://www.facebook.com/stgeorgerandwickhockeyclub/,,stgeorgerandwickhockeyclub@gmail.com,0411 471 679,8/5/2024,,,,
Heshela Newa Khaja Ghar,14-18 Tramway Arc ,ROCKDALE,2216,Bayside,SAMANTHA ENTERPRISES PTY LTD,59157672654,https://www.facebook.com/HeshelaNewariKhajaGhar,https://www.instagram.com/heshela_newa/,heshelanewakhajaghar@gmail.com,(02) 8959 2089,8/5/2024,,,,
Mamma Mui,394 Forest Rd ,BEXLEY,2207,Bayside,Paolo Lam,,https://www.facebook.com/mamma.mui.viet/,https://www.instagram.com/mamma_mui/,mammamui@optusnet.com.au,+61 490 338 429,8/5/2024,,,,
Traditional Grk Souvlaki,Shop 2  1135 Botany Rd ,MASCOT,2020,Bayside,Sophie Balayannis,,https://www.facebook.com/GRKsouvlaki/,https://www.instagram.com/grksouvlaki,mascot@grksouvlaki.com.au,(02) 8068 6382,8/5/2024,,,,
Bourke and Hare,Shop 1  629 Gardeners Rd ,MASCOT,2020,Bayside,D&G HOSPITALITY PTY LTD,93642672446,,,,+61 405 459 905,,,,No email and No website / No social media account,
grk MEZE GRILL,Shop 2 203-207 Ramsgate Rd ,RAMSGATE BEACH,2217,Bayside,GRK STREET FOOD (NEWTOWN) PTY LTD,,https://www.facebook.com/GRKsouvlaki/,https://www.instagram.com/grksouvlaki,ramsgate@grksouvlaki.com.au,+61 2 9529 7761,8/5/2024,,,,
Thai Fire Wok,23 Firth St ,ARNCLIFFE,2205,Bayside,MOZ TRADING PTY. LTD.,55616239108,https://www.facebook.com/thaifirewok/,,,+61 2 9599 4488,,,,No available email,
Citadines Connect Sydney Airport,113-121 Baxter Rd ,MASCOT,2020,Bayside,ASCOTT INTERNATIONAL MANAGEMENT (AUSTRALIA) PTY LTD,,,,reservations.au@the-ascott.com,+61 2 8303 8888,8/5/2024,,,No social media account,
Kibuna Mascot,1123 Botany Rd ,MASCOT,2020,Bayside,SUSHI & TACO PTY LTD,,https://www.facebook.com/kibunajapanesenoodles/,,,(02) 8338 8688,,,,No available email,
Parea Xpress,31 Rocky Point Rd ,KOGARAH,2217,Bayside,Nicholas Papas,,https://www.facebook.com/pareagreektavern,https://www.instagram.com/pareagreektavern/,nick@parea.com.au,(02) 9588 7884,8/5/2024,,,,
The Branksome Hotel and Residences,60 Robey St ,MASCOT,2020,Bayside,The Branksome Residences Pty. Ltd.,35614751432,,https://www.instagram.com/hotelbranksome/,enquiry@thebranksome.com.au,+61 2 8338 3188,8/5/2024,,,,
Club Arncliffe Limited,71b Wollongong Rd ,ARNCLIFFE,2205,Bayside,Club Arncliffe & RSL Limited trading as Club Arncliffe,,https://www.facebook.com/thearno2205/,,clubarncliffersl@gmail.com,+61 2 9567 3966,8/5/2024,,,,
Travelodge Hotel Sydney Airport,289-293 King St ,MASCOT,2020,Bayside,MEDINA PROPERTY SERVICES PTY LIMITED,36062326176,https://www.facebook.com/travelodgehotelsau,https://www.instagram.com/travelodgehotelsau/?hl=en,reservations@tfehotels.com,+61 2 9356 1000,8/5/2024,,,,
Shubhakamana Restaurant,508 Princess Highway ,ROCKDALE,2216,Bayside,Rudra Pahadi,,,,,+61 2 7900 8711,,,,No social media account,
Yan Restaurant,U 3  12-28 Arncliffe St ,WOLLI CREEK,2205,Bayside,YAN RESTAURANT PTY LTD,46611325154,https://www.facebook.com/YanWolliCreek/,https://www.instagram.com/yanrestaurant/?hl=en,hello@yanrestaurant.com.au,(02) 9599 8712,8/5/2024,,,,
Ichiro's Sushi Bar,Shop 14 19-33 Kent Rd ,MASCOT,2020,Bayside,Seiro Moriya,,,https://www.instagram.com/ichirossushibar/,,(02) 9669 2299,,,,No available email,
Maysa Thai Restaurant,3 1 Magdalene Terrace ,WOLLI CREEK,2205,Bayside,Amonrat Mawan,,https://www.facebook.com/maysa.wollicreek,https://www.instagram.com/maysa.wollicreek/,eat@maysarestaurant.com.au,+61 434 570 277,8/5/2024,,,,
Third Eye Rooftop Restaurant & Function Center,364 Princes Hwy ,BANKSIA,2216,Bayside,THIRD EYE ENTERTAINMENT PTY. LTD.,81156505958,https://www.facebook.com/ThirdEyeBar/,https://www.instagram.com/3rdeyefunctions,thirdeyerooftop@gmail.com,+61 403 260 383,8/5/2024,,,,
La Bufala,Tenancy 17 & 18 19-33 Kent Rd ,MASCOT,2020,Bayside,CASOTIMBRI PTY LTD,,https://www.facebook.com/Labufalasydney/,https://www.instagram.com/labufalasydney/,ciao@labufala.com.au,(02) 8319 4090,8/5/2024,,,,
Northeastern Family Chinese Resturant,Shop 2  8 Bourke St ,MASCOT,2020,Bayside,Ying Zhao,,,,,+61 2 8060 6815,,,,No social media account,
GRILLED KOREAN BBQ,Shop 3 1 Brodie Spark Drive ,WOLLI CREEK,2205,Bayside,PROV31ERBS PTY LTD,,,,,+61 2 8317 5633,,,,No social media account,
St Paul & Co,Cnr Rocky Point Rd & Russell Avenue ,SANS SOUCI,2219,Bayside,SEDMIK PTY. LIMITED,77068110565,https://www.facebook.com/stpaulandco,https://www.instagram.com/stpaulandco/,info@stpaulandco.com.au,02 9529 9320,8/5/2024,,,,
Ice Zoo Sydney,689 Gardeners Road ,MASCOT,2020,Bayside,NPG Nominees Pty Limited,32109206091,https://www.facebook.com/icezooalexandria/,https://www.instagram.com/icezoo_icerink/,info@icezoo.com,(02) 9669 6445,8/5/2024,,,,
Shanghai Fried Dumpling,Shop 6 6 Discovery Point Pl ,WOLLI CREEK,2205,Bayside,Qiongtao Huang,,,,,61434905268,,,,No social media account,
Pullman Sydney Airport,191 O'Riordan St ,MASCOT,2020,Bayside,Leigh Roberson,,https://www.facebook.com/PullmanSydAirport/,https://www.instagram.com/pullmansydneyairport,H9522@accor.com,+61 (0) 2 8398 4600,8/5/2024,,,,
Nikaido Mascot,17 Bourke Rd ,MASCOT,2020,Bayside,MISHIMA PTY LTD,53658800198,https://www.facebook.com/nikaido.mascot?paipv=0&eav=AfZ3SsdYPouPFjHieBCJn5PrLp_KRp3IwNuGz__45praSSiiHqlRPq648UMp4dDbdow,https://www.instagram.com/nikaido_mascot/?hl=ja,nikaido.mascot@gmail.com,0432 905 303 ,8/5/2024,,,,
Crinitis Brighton Le Sands,1 Cook Park ,BRIGHTON-LE-SANDS,2216,Bayside,BRIGHTON BOTANY PTY LTD,,https://www.facebook.com/crinitis,https://www.instagram.com/crinitis,accounts@crinitis.com.au,02 8026 7700,8/5/2024,,,,
GG Espresso,Building A Qantas Headquarters 10 Bourke Street ,MASCOT,2020,Bayside,GG Leasing Pty Ltd,,,,,+61 2 9460 7787,,,,No social media account,
ADINA APARTMENT HOTEL SYDNEY AIRPORT,17 Bourke Road ,MASCOT,2020,Bayside,MEDINA PROPERTY SERVICES PTY LIMITED,36062326176,https://www.facebook.com/AdinaHotels/,https://www.instagram.com/adinahotels/,sydneyairport@adinahotels.com.au ,+61 2 9356 1000,8/5/2024,,,,
SAMMY'S CHARCOL CHICKEN,168a President Ave ,BRIGHTON-LE-SANDS,2216,Bayside,Shadie El Khoury,,https://www.facebook.com/sammyslebaneserestaurant/,https://www.instagram.com/sammysrestaurant/,sammyscharcoalchicken@gmail.com,+61 3 9404 2148,8/5/2024,,,,
Rockdale Opera Company,448 Princes Hwy ,ROCKDALE,2216,Bayside,Lynda Cabeldu,,https://www.facebook.com/RockaleOpera/,,rocopinfo@tpg.com.au,,8/5/2024,,,No contact number available,
Bondi Pizza,Westfields Eastgardens U FC01 G 152 Bunnerong Rd ,EASTGARDENS,2036,Bayside,Ma Cecilia Banasihan,,https://www.facebook.com/BondiPizzaEastgardens/,https://www.instagram.com/bondi_pizza/,randwick@bondipizza.com.au,02 8817 0888,8/5/2024,,,,
Ribs & Burgers East Gardens,152 Bunnerong Road ,EASTGARDENS,2036,Bayside,EASTGARDENSRIBS PTY LTD,58163435783,,https://www.instagram.com/ribsandburgers,info@ribsandburgers.com.au,02 9344 7788,8/5/2024,,,,
The Botany Aquatic Centre Kiosk,Cnr Myrtle & Jasmine St ,BOTANY,2019,Bayside,Peter Papoythis,,https://www.facebook.com/BotanyAquaticCentre/,,botany.pool@bayside.nsw.gov.au,+61 2 9316 6218,8/5/2024,,,,
Kingsgrove Mr Espresso,Shop 1 254 Kingsgrove Rd ,KINGSGROVE,2208,Bayside,MACCHINA PTY LIMITED,22158156873,https://www.facebook.com/profile.php?id=100083013505277&mibextid=LQQJ4d,,,(02) 8068 0940,,,,No email and No website,
Rockdale Rugby Football Club Incorporated,Club Room Redmond Fields ,BRIGHTON LE-SANDS,2216,Bayside,Maurice Toetoe,,https://www.facebook.com/RockdaleRugbyUnionClub/,https://www.instagram.com/rockdalerugbyunion/,play@rockdalerugby.com,0423 373 298,8/5/2024,,,,
Hurricane's Grill Brighton Le Sands,65 Grand Pde ,BRIGHTON-LE-SANDS,2216,Bayside,Pradip Ghimire,,https://www.facebook.com/hurricanesgrillbrighton/,https://www.instagram.com/hurricanesgrillbrighton/,,02 9211 2210,8/5/2024,,,Not in the market for them,
The Renegades Cafe,"Shop 1, 230 Coward Street ",MASCOT,2020,Bayside,Yirong Zhou,,https://www.facebook.com/yumrenagades/,https://www.instagram.com/therenegadescafemascot/,therenegadescafe@gmail.com,+61 2 8338 8884,8/5/2024,,,,
Cupino Cafe,55 Kent Road ,MASCOT,2020,Bayside,Shaofeng Gao,,https://www.facebook.com/cupinocafe/,https://www.instagram.com/cupinocafeandbar/,cupinocafe@tpg.com.au,+61 2 9700 8858,8/5/2024,,,,
Foodies Cafe,U 4 29 Clareville Ave ,SANDRINGHAM,2219,Bayside,LUCKY SUNSHINE PTY LTD,86644118632,https://www.facebook.com/profile.php?id=100055436749801,https://www.instagram.com/foodiescafe/,,+61 2 9583 1111,,,,No email and No website,
Las Vagas Pizza,46 Bay St ,ROCKDALE,2216,Bayside,ABROROAM PTY. LIMITED,70003729799,https://www.facebook.com/pages/Las%20Vegas%20Pizza/155357867829585/,,,+61 2 9556 1075,,,,No email and No website,
Mascot Corner Cafe Bar,1223 Botany Rd ,MASCOT,2020,Bayside,Mark Parker,,https://www.facebook.com/mascotcornercafe/,https://www.instagram.com/mascotcornercafe/,mascotcornercafe@gmail.com,+61 2 8094 8840,8/5/2024,,,,
Enzo's Cucina Kogarah,46-48 Rocky Point Rd ,KOGARAH,2217,Bayside,ENZO'S CUCINA KOGARAH PTY LTD,98654682792,https://www.facebook.com/enzoscucinaaustralia/,https://www.instagram.com/enzos_cucina/?hl=en,kogarah@enzoscucina.com.au,02 8776 8612,8/5/2024,,,,
La Piazza Restaurant,337 Bay St ,BRIGHTON-LE-SANDS,2216,Bayside,Emad Hermina,,https://www.facebook.com/lapiazzabrightonlesands,,bookings@lapiazzabrighton.com.au,02 9599 9444,8/5/2024,,,,
Price & Speed Events Infrastructure,42-44 Pemberton St ,BOTANY,2019,Bayside,Ian Johnson,,,,,,,,,Business name does not match on goggle ,
Airport Hotel,185 Princes Hwy ,ARNCLIFFE,2205,Bayside,Basil Berrigan,,,,reservation@airporthotelsydney.com.au,+61 2 95678910,8/5/2024,,,No social media account,
Ken's Sushi Bar Dining,3A Shaw St ,BEXLEY NORTH,2207,Bayside,Atsushi Naka,,https://www.facebook.com/pages/Kens-Sushi-Bar/122304674493163?paipv=0&eav=AfY-NCAbRGFptMMx3kfjbJvVwm3BqILzU6bgUDYY1IXp_0ax5Tkfq1oN4KSetzv7KX0&_rdr,,,+61 2 9150 6588,,,,No email and no website,
Cafe Thai on Botany,1623 Botany Rd ,BOTANY,2019,Bayside,Kong Ung,,,,,+61 2 9316 6888,,,,No social media account,
Regals Musical Society Inc.,448 Princes Hwy ,ROCKDALE,2216,Bayside,Peter Sharratt,,https://www.facebook.com/TheRegalsMusicalSociety,https://www.instagram.com/regalsmusicalsociety/?hl=en,secretary@theregals.com.au,,8/5/2024,,,No contact number available,
Hermis-Ilion Association,279 Forest Rd ,BEXLEY,2207,Bayside,Jim Bekris,,,,,(02) 9597 3231,,,,No social media account,
Novotel Sydney International Airport,20 Levey St ,WOLLI CREEK,2205,Bayside,SYDNEY AIRPORT HOTEL SERVICES PTY LTD,,https://www.facebook.com/novotelsydneyairport/,https://www.instagram.com/novotelsydneyairport/,h5603-re1@accor.com,+61 2 9518 2000,8/5/2024,,,,
Bamboo Court Chinese (Sans Souci) Restaurant,510-514 Rocky Point Rd ,SANS SOUCI,2219,Bayside,Yan Huang,,,,,+61 2 9529 3897,,,,No social media account,
Manhattan Superbowl,549 Gardeners Rd ,ROSEBERY,2018,Bayside,Savva Selia,,https://www.facebook.com/manhattansuperbowl/,https://www.instagram.com/manhattansuperbowl,info@msb.com.au ,283763333,8/5/2024,,,,
Rockdale Musical Society Incorporated,"Rockdale Town Hall, Princes Hwy ",ROCKDALE,2216,Bayside,Ana Lawford,,,https://www.instagram.com/rockdale_ms/,president@rockdalemusicalsociety.com,,8/5/2024,,,No contact number available,
Be My Guest Thai Kitchen,Shop 15 191-201 Ramsgate Rd ,RAMSGATE BEACH,2217,Bayside,Penarpa Sanpote,,https://www.facebook.com/BeMyGuestThaiRamsgate/,,admin@localforyou.com,+61 2 9529 0033,8/5/2024,3/6/2024,,error on sending email / new email address from website,
Ibis Sydney Airport,O'Riordan & King Sts ,MASCOT,2020,Bayside,Mathew FINCH,,,,H3058@accor.com,+61 2 8339 8500,8/5/2024,,,No social media account,
Central Live,"1st Floor, 588 Princes Hwy ",ROCKDALE,2216,Bayside,INDRENI PTY LTD,75618235411,,,,+61 97875344,,,,No Social media account,
Will & Mike's,14A Baker St ,BANKSMEADOW,2019,Bayside,George Trousas,,https://www.facebook.com/willandmikes/,https://www.instagram.com/willandmikes/,hello@willandmikes.com.au,02 9666 8855,8/5/2024,,,,
